name,address,denomination,attendance,worship_style,worship_description,Approximately how close are you to Calvin College?,sunday_service_time,student_needs,student_opportunities,mission_statement,transportation
Sovereign Grace United Reformed,"3333 East Beltline NE, Grand Rapids, MI 49525",United Reformed,<150,Thematic,"historicly rich, ordered, gospel",5-10 miles,"Sunday 9:30 AM
Sunday 5:30 PM","Church Nursery, Doctrine class,",We have a weekly bible study for college students that meets Wednesdays at 9:30 PM.,"Sovereign Grace Church is part of the United Reformed Churches of North America.  We hold to the historic, biblical Christian faith as summarized in the Belgic Confession of Faith, the Heidelberg Catechism, and the Canons of Dordt.  We seek to give glory to God, and shine forth His truth in this dark world.",
Encounter,"4620 Kalamazoo St. SE, Kentwood, MI 49508",CRC,150-500,Thematic,young missional hillsong,2-5 miles,Sundays @ 10AM,"Barista, Youth (birth-12th grade), AV, Greeters, Office interns, etc...",,"""Make Disciples"". EC started in 2010 by holding services in a school cafeteria. After outgrowing that facility we bought a former fitness club in 2013. We gear the church to reach the un-churched and de-churched. ","We average about 70-100 students per week so too many for a van. We've seen most success by helping facilitate ride networks. If transportation is an issue, email the church office at curious@MyEncounterChurch.org"
St. Nicholas Orthodox,"2250 E. Paris, SE, Grand Rapids, MI 49546 
",Antiochian Orthodox,500-1000,Liturgical,ancient orthodox byzantine,< 2 miles,10:30 Sunday,,,Theosis,no
St. Paul the Apostle,"2750 Burton SE, Grand Rapids, MI 49546 ",Roman Carholic,> 1000,Liturgical,Mixed styles,< 2 miles,"5:00 pm Saturday
9:00 & 11:00 am Sunday","Youth ministry
Nursery",,"We focus on faith, family, service and Kingdom building.",
Bella Vista,"5100 Belding Road NE, Rockford, MI 49341 
",non denominational,150-500,Thematic,"Blended, diverse, mutli-generational",> 10 miles,"Sunday 9AM
Sunday 10:45AM","Children's ministry, Youth Ministry, Praise Teams, Tech Teams, Creative Teams (Photography, Videography, Video production).",We have a College group that meets for both service and fellowship events every month. We also have several families that offer home cooked meals for college students on a regular basis.,"Loving God ... Loving People
As a body of believers, our purpose is to obediently follow Jesus Christ by passionately loving God and people as energized by the Holy Spirit.
",None currently
Plymouth Heights,"2010 Plymouth SE Grand Rapids, MI 49506 
",CRC,150-500,Thematic,"Mosaic, multi generational",< 2 miles,"10 am on Sundays
5:30 pm most Sundays (exceptions for joint services during the year, and no PM services in July and August)","Nursery, Children in Worship, Musical accompaniment, Friendship, Youth Programs, Tuesday night community basketball, Cadets, once a month mobile food pantry, Family Promise, Mentoring at Mulick Park Elementary School, visiting shut-ins, and probably more....","We do a once a month meal after church for college students, usually the first week of the month.  We've got a couple of intergenerational Bible Studies on Wed nights - one for guys and a couple for gals - that are open to college students.","Inviting neighbors to become disciples, equipping disciples to become neighbors",We do not....
Lee Street CRC,"1261 Lee Street SW
Wyoming, MI 49509
",Christian Reformed,150-500,Thematic,blended,5-10 miles,Sunday - 9:30 a.m. & 5:00 p.m.,,no,"Our Mission is to make and mature disciples in the neighborhoods in which we minister and live.
Our Vision is to be a truly multicultural, multigenerational body of Christ.
http://www.leestcrc.org/vision-mission.cfm ",no
Cornerstone Church,"2045 68th Street SE Caledonia, MI 49316
",United Methodies,> 1000,Thematic,"Contemporary, evangelical, bible-teaching",5-10 miles,"Saturday - 6:00 p.m.
Sunday -  9:00 a.m.
              10:30 a.m.
               12:00 p.m.","Young Adults would be able to engage in various ministries throughout the church from Kids Ministries to serving with students.  Music and serving opportunities would also be available. 
We do have a few internship opportunities available as well in Student Ministries, Kids Ministries,and in the worship area.","We offer a Thursday night ministry called The Haven for young adults.  It's a night of worship, teaching, and discussion.  7:30 p.m.  We also offer a free dinner at 6:30 before ministry begins.
We offer two retreats each year, fall and spring.  We also go on a short-term mission trip early in the summer.",Our statement:  Knowing Jesus and Making Him Known,"We do not offer transportation at this point.  If the need did arise, I'm sure we could figure something out."
St Marks Episcopal,"134 N. Division
Grand Rapids, MI 49503 
",Episcopal,150-500,Liturgical,"Eucharistic, Musical, Blended",2-5 miles,"SUNDAY AT 8AM (Reflective Holy Communion) & 10:30AM Holy Communion with Choral music
TUESDAY AT 12Noon Holy Communion & Healing Prayer in Chapel",We have a full range of activities including Christian Formation (nursery; children & adult); Youth Ministry; participents in the liturgy; participents in outreach ministry such as Sunday Breakfast Cafe or weekday Women's ministry; ,Our Sunday Breakfast Cafe provides hospitality weekly with safe space and full breakfast for up to 200 guests.,"""Connecting spirits, Engaging minds, Welcoming All"" forms our mission statement; we are a progressive ""destination"" church which welcomes and honors all types & conditions of people to form Christian community and reach out to the wider community through excellence in worship, formation and ministry.",
Immanuel Reformed,"2 Michigan St. NE
Grand Rapids, MI 49503 
",RCA,<150,Thematic,blended organic historically rich,< 2 miles,"9:30 AM Sunday, 11:00 Sunday School for all ages, home cooked meal 6:00 PM Wednesday night, 6:30 PM choir practice, Jr. High ""Common Ground"", congregational gathering and fellowship time (Vantage Point materials may be used)","Praise Band (youth director is organizing now), church nursery, Sunday School for all ages, choir, youth group, shared ministry with Bridge Street House of Prayer several time a year, awesome sledding hill!","Nicole Michmerhuizen from Calvin is a helper in Sunday school; would love to have more students involved in music, and even liturgical dance or drama!  ",To equip this generation for service to God and ministry in the world in ways consistent with our core values.,"Yes, Robert/Becky Van Zanen (Calvin Graduates) are picking up students on Sunday mornings.  I'm not sure the specific details, but if you call me I'll contact them for more information.  957-9117 X21 Sharon Peters, Secretary."
Church of the Servant,"3835 Burton SE
Grand Rapids, MI 49546 
",CRC,500-1000,Liturgical,"Intergenerational, Multi-Ethnic, Justice-Orientated  ",< 2 miles,"Sunday at 8:30am and 11:00am
Basic English service at 11:00am","Middle School and Highschool Youth group Leaders or interns, Worship Committee, Choir, Guitarchrastra, Liturgists, Food Truck, ESL,  food pantry.","We have a household for college and 20s students,
We have a college dinner the first sunday of every month following our second service. ","We are a diverse community of Christ's servants, a home for God's children, and a prism for God's light in liturgy and life.",Labeled Church van 10:30am on the road between SE and BV
Cascade Fellowship ,"2829 Thornapple River Dr. SE
Grand Rapids, MI 49546 
",CRC,150-500,Thematic,"Celebratory, welcoming, two-venues",2-5 miles,"Sundays at 10:30 am with lunch offered most Sundays after the service. We have a van that picks up students on Calvin's campus, by the volley ball courts.","Worship, children's and youth ministries.",,"To intentionally connect people to God through Jesus Christ,
To nurture and equip believers for their lifelong journey of faith, and
To help build the Family of Christ worldwide.","Yes, our church van can be found by the volley ball courts and leaves campus at 10:00 am"
